seconds,data
0.0,165290
0.001,165277
0.001,165277
0.002,165224
0.122,165151
0.241,165212
0.352,165257
0.421,165277
0.541,165282
0.661,165307
0.721,165283
0.841,165263
0.962,165186
1.031,165218
1.141,165215
1.261,165211
1.371,165233
1.441,165242
1.561,165260
1.681,165259
1.751,165344
1.861,165344
1.982,165245
2.031,165233
2.161,165212
2.281,165216
2.401,165227
2.471,165287
2.581,165293
2.701,165295
2.771,165338
2.882,165320
3.001,165285
3.05,165320
3.192,165307
3.302,165330
3.421,165285
3.491,165242
3.601,165247
3.722,165305
3.771,165258
3.95,165291
4.022,165259
4.071,165261
4.211,165257
4.322,165237
4.441,165265
4.491,165294
4.632,165500
4.741,165799
4.791,166088
4.902,167706
5.021,187426
5.091,225020
5.211,226590
5.321,229628
5.441,178583
5.511,175023
5.621,173301
5.741,176149
5.811,179551
5.931,178949
6.042,185391
6.111,198766
6.23,213542
6.412,201577
6.531,186881
6.533,192860
6.651,203661
6.831,225391
6.831,266118
6.952,250790
7.091,293144
7.13,420539
7.251,582552
7.37,725558
7.511,873408
7.552,1058876
7.672,1255190
7.781,1282547
7.852,1172958
7.97,1067832
8.09,806518
8.162,435164
8.271,237129
8.392,203689
8.501,199593
8.571,191289
8.691,185162
8.812,187908
8.881,195278
8.991,200392
9.111,209548
9.181,229395
9.361,278076
9.482,293599
9.531,346203
9.591,459155
9.711,585213
9.831,722856
9.901,878456
10.012,1018991
10.132,933732
10.182,540421
10.311,220168
10.432,168562
10.622,165680
10.624,166164
10.732,166522
10.851,166763
10.921,167051
11.031,167113
11.151,167207
11.202,167333
11.341,167449
11.452,167505
11.571,167529
